gene_name	823-RNA_L8	824-RNA_L8	825-RNA_L8	826-RNA_L8	828-RNA_L8	829-RNA_L8	830-RNA_L8	831-RNA_L8	832-RNA_L8	835-RNA_L8	836-RNA_L8	839-RNA_L8	840-RNA_L8	841-RNA_L8	847-RNA_L8
ENSMUSG00000001034.17	468	209	689	409	504	212	401	307	426	555	681	434	482	467	532	
ENSMUSG00000001036.17	613	390	1041	757	657	345	449	326	432	851	719	638	704	774	596	
ENSMUSG00000001039.12	121	94	240	148	64	64	126	78	203	181	235	134	164	165	210	
ENSMUSG00000001052.15	1164	458	1311	874	1281	554	1077	465	953	1195	1245	889	1178	1236	1016	
ENSMUSG00000001053.15	217	138	300	421	169	102	350	213	491	597	742	395	792	682	760	
ENSMUSG00000001054.9	684	267	651	559	528	255	661	384	665	661	755	508	641	642	675	
ENSMUSG00000001056.3	1039	490	1171	2314	706	863	1665	810	1958	1507	2791	976	1649	1693	1991	
ENSMUSG00000001062.18	604	286	853	365	496	311	534	358	506	462	427	381	380	372	393	
ENSMUSG00000001065.15	447	196	628	233	431	238	436	322	410	401	304	255	318	300	284	
ENSMUSG00000001076.6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	
ENSMUSG00000001082.12	579	345	790	835	381	278	661	363	762	983	1304	518	956	935	964	
ENSMUSG00000001089.14	2508	1313	2201	1178	3028	1396	2287	1132	1457	1214	1665	1381	1342	1168	1266	
ENSMUSG00000001095.5	796	367	1528	3712	5569	2830	3032	2053	2633	70	350	414	373	273	226	
ENSMUSG00000001098.15	1551	900	1545	1084	2169	752	1461	617	1056	1482	1330	1184	1464	1129	1282	
ENSMUSG00000001100.10	1601	846	1909	1128	1098	789	1765	758	1479	1390	1713	1079	1248	1098	1310	
ENSMUSG00000001103.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000001105.15	1205	530	1217	1062	1318	716	1529	964	1668	852	1003	731	867	723	1019	
ENSMUSG00000001119.7	4185	2519	7503	2484	3809	947	2051	970	1772	1553	1451	2296	1931	1581	1189	
ENSMUSG00000001120.15	164	100	398	256	214	71	71	53	108	61	39	50	64	132	54	
ENSMUSG00000001123.15	1314	563	1174	2068	2328	2547	3595	2971	3979	4103	7907	2426	4258	2398	4726	
ENSMUSG00000001127.12	2160	972	2749	1633	1906	1469	2070	1295	1941	1533	1843	1213	1538	1375	1502	
ENSMUSG00000001128.7	310	131	365	660	304	132	263	228	508	377	564	327	439	235	273	
ENSMUSG00000001131.11	27	28	58	676	155	41	51	51	132	277	537	145	327	349	480	
ENSMUSG00000001134.9	359	198	424	413	303	234	530	285	525	221	310	189	241	198	252	
ENSMUSG00000001138.13	469	227	600	273	421	201	440	267	424	507	661	390	496	417	605	
ENSMUSG00000001143.13	388	155	438	340	486	318	522	285	375	399	391	281	408	328	403	
ENSMUSG00000001150.6	715	303	948	496	587	371	746	404	688	661	835	613	690	632	681	
ENSMUSG00000001151.9	629	275	822	523	392	302	523	270	545	521	714	435	512	423	504	
ENSMUSG00000001155.13	0	1	1	0	1	0	0	2	0	1	1	0	0	2	4	
ENSMUSG00000001156.9	9765	4689	6287	10343	15333	5360	12296	8976	11095	6541	6744	7833	5876	7282	5002	
ENSMUSG00000001157.13	657	305	685	479	728	468	928	431	816	796	960	804	744	587	958	
ENSMUSG00000001158.13	782	452	963	810	694	457	866	517	984	569	898	494	591	376	655	
ENSMUSG00000001166.17	73	39	77	66	44	26	75	54	85	54	65	37	37	30	35	
ENSMUSG00000001168.16	7	4	7	6	10	6	6	3	7	5	5	4	2	4	1	
ENSMUSG00000001173.15	489	259	666	312	440	305	372	270	297	372	429	332	405	331	410	
ENSMUSG00000001175.13	21888	13955	21573	24534	38285	18155	29131	18448	26931	21085	24802	19106	18843	15535	20598	
ENSMUSG00000001211.14	1628	700	1987	1154	1265	596	1461	605	1140	1556	1736	1028	1476	1247	1533	
ENSMUSG00000001225.12	20286	12110	13059	4156	24815	2620	24161	12658	12623	226	2572	5139	541	715	565	
ENSMUSG00000001227.11	157	67	177	1085	257	81	177	98	207	357	392	180	335	218	323	
ENSMUSG00000001228.14	245	243	475	806	318	365	555	290	631	1315	2025	624	1089	1072	1041	
ENSMUSG00000001229.7	821	387	942	1066	1075	912	1090	499	1065	1203	1492	870	1266	1121	1153	
ENSMUSG00000001240.13	283	134	364	273	220	73	212	106	268	106	126	146	133	117	120	
ENSMUSG00000001247.16	1610	667	1330	1296	1257	200	2109	748	1622	2206	3021	1795	2359	1702	2180	
ENSMUSG00000001248.14	510	233	869	727	509	179	554	480	979	976	1150	682	1212	719	1013	
ENSMUSG00000001249.14	156	62	263	13	48	38	382	102	240	218	275	143	174	99	225	
ENSMUSG00000001260.10	0	0	1	5	3	2	0	0	0	0	0	0	0	0	0	
ENSMUSG00000001270.8	10686	8466	21645	3077	4418	2414	3202	2456	3298	2203	1535	1885	2467	2537	942	
ENSMUSG00000001280.12	1448	688	1611	1367	1226	775	1488	790	1547	1413	1934	1389	1318	1205	1464	
ENSMUSG00000001281.9	66	36	76	332	90	43	190	94	432	119	190	103	148	103	87	
ENSMUSG00000001285.12	762	353	903	740	488	427	766	385	738	505	742	391	522	436	473	
ENSMUSG00000001288.14	601	226	701	390	512	410	548	232	330	1036	771	623	789	1556	767	
ENSMUSG00000001289.12	3475	1913	4360	2749	2442	2110	3614	2000	3789	1588	2476	1525	1682	1597	1875	
ENSMUSG00000001300.16	1617	877	1414	1154	2647	1168	1975	1229	1520	1055	1184	1107	963	1013	968	
ENSMUSG00000001305.5	268	149	414	369	150	129	380	152	410	331	477	306	363	291	336	
ENSMUSG00000001313.12	155	121	288	187	110	158	87	81	122	107	113	128	91	90	106	
ENSMUSG00000001323.17	391	204	393	149	466	225	315	198	214	196	180	195	164	115	120	
ENSMUSG00000001333.9	47	17	42	3	24	1	18	3	7	16	31	20	13	26	6	
ENSMUSG00000001334.9	47	16	97	12	31	26	45	26	42	93	78	53	59	60	83	
ENSMUSG00000001348.15	4055	1911	3997	3695	5711	3719	6793	3753	6045	1405	2699	2418	2228	1624	1882	
ENSMUSG00000001349.5	30664	25059	53549	5435	22108	4335	16570	10188	13154	7908	2603	8589	9444	9457	1666	
ENSMUSG00000001366.14	1283	717	1422	934	1553	709	1398	706	1030	719	776	821	808	623	751	
ENSMUSG00000001376.17	602	361	603	423	614	376	836	416	610	628	754	572	538	401	617	
ENSMUSG00000001380.6	1104	560	1432	1555	1221	685	1515	702	1470	1230	1792	985	1281	1016	1330	
ENSMUSG00000001383.8	2311	1186	2363	2362	2218	1333	2563	1432	2684	1715	2726	1586	1692	1282	1980	
ENSMUSG00000001403.13	800	356	835	2845	349	990	948	529	1340	1384	2324	813	1328	1332	1594	
ENSMUSG00000001415.10	1694	937	2225	1548	1518	1120	2090	974	1731	2141	2196	1453	1807	1511	1537	
ENSMUSG00000001416.13	3190	1727	3617	4265	2804	2392	4523	1984	4249	4053	6292	3225	4649	3780	4673	
ENSMUSG00000001418.13	2693	1251	2874	2865	3170	1895	3577	2017	3137	2370	3831	2074	2748	2241	3339	
ENSMUSG00000001419.17	2690	1328	3072	2095	3491	1074	2336	1164	1819	1844	1963	1468	1796	1347	1426	
ENSMUSG00000001420.13	340	141	263	269	458	171	530	209	369	579	522	363	539	508	470	
ENSMUSG00000001424.14	2049	1052	2442	3655	2538	1490	2663	1414	3038	3231	4680	2276	3386	3410	3744	
ENSMUSG00000001435.14	853	513	1610	2812	2056	682	1112	587	1360	1945	2710	2912	2743	2155	2513	
ENSMUSG00000001436.15	281	178	455	297	138	188	367	169	272	281	366	179	286	307	289	
ENSMUSG00000001440.5	4218	2175	4399	4472	3925	2641	5014	1965	3850	5361	8019	4100	5393	4519	5482	
ENSMUSG00000001441.13	2952	1364	2793	3575	3842	1789	2868	1780	2542	2635	2925	2189	2329	2057	2394	
ENSMUSG00000001444.2	2	3	2	5	5	8	7	8	12	2	8	6	5	3	5	
ENSMUSG00000001445.10	1082	461	1233	1055	988	781	1270	711	1203	790	1043	711	868	792	842	
ENSMUSG00000001467.5	2515	1115	2141	3080	5805	2393	4690	3123	4864	4255	6562	3041	3166	3449	3780	
ENSMUSG00000001472.17	6986	3228	8366	4971	6511	3479	6562	3745	5399	5639	6104	4436	5223	4372	5199	
ENSMUSG00000001473.6	1439	978	2457	981	1150	332	770	426	773	1757	2013	1125	1706	1934	1580	
ENSMUSG00000001482.15	505	287	640	360	328	329	493	177	494	557	751	414	503	384	543	
ENSMUSG00000001493.9	74	61	105	101	63	19	80	15	80	32	85	90	79	88	87	
ENSMUSG00000001494.6	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	
ENSMUSG00000001496.15	5	0	2	1	5	3	2	5	3	1	1	4	1	1	7	
ENSMUSG00000001497.18	26	6	13	1	1	0	1	0	3	59	2	13	23	160	13	
ENSMUSG00000001504.10	49	0	0	0	4	0	8	0	0	24	0	6	35	45	1	
ENSMUSG00000001506.10	4672	2087	6688	4516	3731	1148	2718	1463	3113	3702	9563	4475	5708	4585	4995	
ENSMUSG00000001507.16	3490	2131	4021	6504	6648	2703	4190	2735	4046	5109	4963	3775	4784	4288	3462	
