gene_name	823-RNA_L8	824-RNA_L8	825-RNA_L8	826-RNA_L8	828-RNA_L8	829-RNA_L8	830-RNA_L8	831-RNA_L8	832-RNA_L8	835-RNA_L8	836-RNA_L8	839-RNA_L8	840-RNA_L8	841-RNA_L8	847-RNA_L8
ENSMUSG00000022710.17	3768	1807	3969	2755	3171	2063	3772	1983	3398	3736	4185	2995	3429	2768	3208	
ENSMUSG00000022711.15	3495	1530	3915	4674	5510	3517	4883	2889	4670	2255	3174	2320	2689	2062	2827	
ENSMUSG00000022715.2	0	0	1	2	0	1	1	0	2	1	0	0	0	0	0	
ENSMUSG00000022718.11	417	229	702	243	327	187	409	255	381	679	625	540	512	537	451	
ENSMUSG00000022721.18	708	334	946	847	608	389	867	545	937	931	1095	547	897	742	785	
ENSMUSG00000022722.18	143	75	264	86	74	35	67	53	96	151	134	115	88	53	117	
ENSMUSG00000022723.15	452	228	590	236	379	107	298	140	255	420	340	294	395	689	280	
ENSMUSG00000022724.15	422	165	339	229	431	184	649	257	419	425	582	314	437	323	360	
ENSMUSG00000022738.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000022742.5	761	293	937	470	448	274	597	305	530	549	706	561	564	516	506	
ENSMUSG00000022744.12	1079	653	1080	697	1103	527	1081	617	1050	921	956	902	867	927	764	
ENSMUSG00000022747.16	4016	1949	4751	1927	3251	230	5548	3138	4796	1308	2213	1978	1548	1000	1643	
ENSMUSG00000022748.7	170	118	250	182	41	59	163	81	195	95	171	104	135	94	101	
ENSMUSG00000022749.6	614	259	707	299	549	301	455	296	460	334	371	343	276	261	288	
ENSMUSG00000022750.17	992	442	1242	770	1290	589	1159	544	862	372	495	504	497	307	490	
ENSMUSG00000022751.8	575	267	814	270	239	217	616	275	572	344	424	297	352	272	350	
ENSMUSG00000022752.8	1991	1109	1893	1710	1526	1177	2417	1019	1968	1906	2659	1794	2063	1535	2089	
ENSMUSG00000022753.15	0	0	0	2	0	0	0	1	8	0	1	0	2	0	0	
ENSMUSG00000022754.5	490	78	133	39	84	27	116	56	63	401	169	243	265	692	201	
ENSMUSG00000022755.4	7094	3533	4515	2323	8669	2934	7803	3325	4434	1636	2660	4285	2264	1051	1753	
ENSMUSG00000022756.15	281	125	437	216	238	272	330	216	385	209	284	237	192	216	304	
ENSMUSG00000022757.18	1735	960	1842	1485	1925	863	1797	1052	1524	1625	2159	1484	1631	1517	1858	
ENSMUSG00000022758.12	112	58	181	38	22	9	27	19	31	25	9	24	9	27	31	
ENSMUSG00000022759.13	2	2	4	0	0	2	0	0	2	0	1	0	0	0	0	
ENSMUSG00000022760.15	516	227	531	399	356	300	462	254	474	335	490	284	320	346	395	
ENSMUSG00000022761.10	1420	722	1758	1317	1170	892	1339	891	1359	1495	1707	1144	1337	1103	1419	
ENSMUSG00000022762.17	11	12	24	7	26	5	7	3	0	6	2	3	1	0	2	
ENSMUSG00000022763.16	7	6	25	12	9	21	12	9	23	21	40	8	16	14	30	
ENSMUSG00000022765.8	771	374	841	695	1051	495	1191	450	943	610	797	707	656	524	779	
ENSMUSG00000022766.12	0	0	0	8	0	0	1	0	6	15	47	3	32	12	20	
ENSMUSG00000022768.15	218	120	245	230	320	109	240	256	323	124	166	130	81	115	143	
ENSMUSG00000022769.7	600	281	588	1575	1593	771	1609	1050	1726	867	1284	955	1074	665	1020	
ENSMUSG00000022770.16	1797	1032	2174	1070	1605	866	1937	912	1616	1618	1817	1415	1529	1292	1396	
ENSMUSG00000022771.15	1854	821	1938	1328	1275	992	1941	931	1729	1531	1802	1306	1475	1128	1695	
ENSMUSG00000022772.11	144	76	158	90	207	61	124	80	126	299	271	236	252	223	214	
ENSMUSG00000022773.16	39	20	50	17	13	14	14	13	29	138	186	96	106	55	198	
ENSMUSG00000022774.12	917	428	1180	860	744	542	1157	576	1254	993	1532	830	1028	838	1115	
ENSMUSG00000022779.14	1002	409	1305	672	792	543	944	527	932	857	1008	679	947	739	946	
ENSMUSG00000022780.5	0	0	0	0	0	0	0	0	3	0	11	11	7	0	11	
ENSMUSG00000022781.8	2505	1074	2553	2039	2080	1669	2832	1346	2417	2528	3037	2084	2337	2137	2818	
ENSMUSG00000022783.11	1	0	0	0	0	1	2	0	0	0	1	1	0	1	1	
ENSMUSG00000022787.10	368	164	336	319	251	196	413	170	394	204	293	183	232	181	262	
ENSMUSG00000022788.16	699	393	595	381	806	392	687	476	607	376	491	413	334	247	400	
ENSMUSG00000022789.14	2160	1114	2394	1364	2499	1037	2431	1252	2095	2159	2261	1950	1643	1355	1656	
ENSMUSG00000022790.14	34	20	64	44	26	13	24	37	19	173	289	119	172	99	292	
ENSMUSG00000022791.16	2600	1399	3466	3171	3111	1060	2595	1937	2668	2783	2664	1757	2620	3120	2122	
ENSMUSG00000022792.16	295	170	331	314	217	251	353	177	414	324	444	246	291	293	299	
ENSMUSG00000022793.16	991	526	1016	429	880	766	1398	778	1011	146	351	333	387	221	341	
ENSMUSG00000022797.15	3165	1910	3532	7628	5012	2297	4457	1912	3568	2902	5177	2722	3536	2149	2988	
ENSMUSG00000022798.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000022799.4	266	119	356	143	144	55	166	79	181	133	136	171	166	168	151	
ENSMUSG00000022800.13	1041	657	1176	604	940	482	1063	508	878	940	1189	938	906	810	1048	
ENSMUSG00000022801.13	648	311	750	305	420	264	431	289	476	522	540	480	490	402	482	
ENSMUSG00000022802.2	77	30	118	81	70	39	66	44	64	121	153	79	104	84	90	
ENSMUSG00000022803.12	570	461	1275	202	395	111	257	121	204	152	54	138	147	173	25	
ENSMUSG00000022805.16	29	17	25	19	15	15	25	23	32	26	25	15	9	14	27	
ENSMUSG00000022807.8	556	279	577	282	459	326	453	252	329	549	567	423	484	366	405	
ENSMUSG00000022808.4	1988	1167	1718	1287	1773	825	1877	905	1565	1465	1619	1482	1454	1143	1316	
ENSMUSG00000022809.4	2166	1115	2355	1321	2302	1597	2626	1327	1813	561	767	986	814	411	672	
ENSMUSG00000022811.16	938	549	988	579	807	506	1142	483	790	991	1186	948	979	716	984	
ENSMUSG00000022812.13	1361	621	1285	1117	1320	584	1267	629	1134	1673	1918	1387	1343	1384	1689	
ENSMUSG00000022814.6	557	340	707	494	420	256	624	209	493	330	548	302	386	302	386	
ENSMUSG00000022816.11	2545	1508	3517	1908	1384	450	1355	556	1337	1337	2194	1930	1756	1377	1339	
ENSMUSG00000022817.14	1642	786	1963	1481	2201	831	1938	1007	1377	1342	1508	1184	1449	1339	1384	
ENSMUSG00000022818.12	0	1	1	0	0	0	0	0	1	2	1	2	0	0	0	
ENSMUSG00000022820.3	1777	1122	2107	1540	1802	1459	2185	1593	2193	859	1134	772	682	641	889	
ENSMUSG00000022821.13	0	1	2	0	1	1	0	0	2	3	3	1	3	2	0	
ENSMUSG00000022822.15	441	222	808	220	326	301	206	235	266	581	569	448	538	371	579	
ENSMUSG00000022824.12	62904	34180	58478	89799	149135	40244	101861	50592	72138	36907	46497	43804	43200	25935	40972	
ENSMUSG00000022827.14	216	80	245	239	278	145	344	167	250	240	376	201	258	164	301	
ENSMUSG00000022828.10	192	52	192	192	161	100	259	131	242	365	534	293	375	262	343	
ENSMUSG00000022829.14	2	5	5	2	4	0	2	0	1	1	2	1	1	0	1	
ENSMUSG00000022831.14	127	114	180	888	291	97	370	196	698	376	560	351	460	304	328	
ENSMUSG00000022832.10	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	
ENSMUSG00000022833.6	99	25	145	103	55	58	87	45	107	205	279	100	166	136	229	
ENSMUSG00000022836.10	27840	23424	48795	9061	11354	4854	7895	4582	6135	6611	2257	6652	5929	7109	1914	
ENSMUSG00000022837.13	125	52	202	51	81	19	86	41	57	109	96	62	78	69	66	
ENSMUSG00000022838.13	18	2	18	21	23	8	55	23	130	16	25	31	11	13	29	
ENSMUSG00000022840.8	1635	1321	3010	585	706	203	400	268	371	362	105	388	322	401	73	
ENSMUSG00000022841.14	5731	3497	6804	7237	6222	4374	6765	3800	6857	5591	6791	4526	5476	5274	5517	
ENSMUSG00000022842.16	192	134	355	255	212	202	291	150	342	212	268	153	200	199	237	
ENSMUSG00000022843.16	4192	2277	5060	4466	9641	4683	6750	4626	5493	1466	2204	2055	1755	1222	1484	
ENSMUSG00000022844.7	789	245	813	763	643	727	1685	947	1652	525	923	599	732	501	754	
ENSMUSG00000022847.14	108	32	58	354	326	45	145	154	156	165	241	67	156	156	171	
ENSMUSG00000022848.8	1378	701	1458	2693	2343	1237	1887	1184	1973	2121	2071	1508	1902	1582	2099	
ENSMUSG00000022849.4	109	71	188	182	161	113	121	114	191	176	326	158	241	207	259	
ENSMUSG00000022853.6	952	415	847	253	795	802	1009	349	497	230	325	410	287	220	183	
ENSMUSG00000022855.8	982	460	996	804	935	522	1043	630	1078	1221	1438	954	1180	939	1216	
ENSMUSG00000022856.8	843	431	754	456	560	576	786	400	747	515	592	406	423	403	553	
ENSMUSG00000022857.13	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	
ENSMUSG00000022858.15	2814	1538	3189	2751	2270	1573	3256	1635	3342	2713	3863	2407	2526	2433	2969	
ENSMUSG00000022860.14	360	172	546	115	55	72	158	51	143	349	282	239	227	107	365	
ENSMUSG00000022861.16	62	32	68	21	35	16	20	6	22	9	10	14	20	8	8	
ENSMUSG00000022863.14	159	123	186	148	176	45	177	113	170	218	274	155	228	163	230	
ENSMUSG00000022864.13	22	21	35	35	24	8	28	19	23	86	107	70	68	103	61	
ENSMUSG00000022865.13	4184	2315	3495	2190	3907	2391	4148	2578	3465	3334	5440	3123	3453	2226	4152	
ENSMUSG00000022867.9	1589	829	1103	803	1328	647	1368	681	1009	1105	1074	1207	980	1064	754	
ENSMUSG00000022868.5	2	2	0	3	1	0	0	0	4	1	0	1	1	4	1	
ENSMUSG00000022871.12	43	5	7	48	16	10	11	8	21	83	65	69	110	101	196	
ENSMUSG00000022875.17	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000022876.17	18	14	7	169	55	8	45	31	101	62	80	32	59	63	32	
ENSMUSG00000022877.8	24	4	63	5	12	2	20	18	22	19	16	10	21	9	20	
ENSMUSG00000022878.5	36	0	839	56	265	8	73	15	64	9	1	7	4	1	2	
ENSMUSG00000022881.14	204	91	234	284	105	132	301	136	342	210	337	146	219	183	235	
ENSMUSG00000022883.10	186	63	196	53	113	21	91	27	105	1017	1023	785	958	571	1004	
ENSMUSG00000022884.14	9893	4230	11326	6332	9804	5067	9502	6913	9694	5062	5555	4919	4698	3747	4492	
ENSMUSG00000022885.15	669	339	927	509	1745	659	1938	806	1721	158	449	603	362	167	411	
ENSMUSG00000022886.5	1	1	0	210	1	18	0	1	2	3	0	0	0	0	1	
ENSMUSG00000022887.8	8	0	8	1	2	0	0	0	2	1	3	0	2	2	2	
ENSMUSG00000022889.7	877	483	896	649	687	537	1107	501	1067	648	850	597	643	517	623	
ENSMUSG00000022890.13	5736	3474	6826	4793	6199	3919	7782	4865	7271	2637	3864	2740	2578	2226	2665	
ENSMUSG00000022892.10	11902	7089	13585	5705	11550	7047	11387	5742	9106	15560	15843	12721	12706	12642	13426	
ENSMUSG00000022893.14	281	234	573	781	510	41	88	59	87	178	248	184	377	301	143	
ENSMUSG00000022894.5	78	44	193	64	42	13	30	17	24	17	17	22	21	18	14	
ENSMUSG00000022895.14	4979	2900	5634	4161	5654	3453	5132	3072	5525	11515	15001	8831	11109	7010	13719	
ENSMUSG00000022897.14	1357	679	1411	748	1234	642	1439	647	1203	1042	1333	967	1061	860	1098	
ENSMUSG00000022898.12	1031	546	1195	882	1168	633	1161	725	1020	746	1033	668	776	550	826	
ENSMUSG00000022899.8	149	44	451	52	292	7	183	63	236	610	210	36	179	242	527	
ENSMUSG00000022900.14	2523	1192	2781	4107	7479	4725	4848	2966	3905	1119	1367	1562	1553	1036	1338	
ENSMUSG00000022901.13	59	29	46	82	70	14	35	31	129	77	78	115	84	40	61	
ENSMUSG00000022902.7	1	0	0	25	0	0	1	0	0	0	1	0	1	5	0	
ENSMUSG00000022905.12	1140	615	996	858	944	617	1115	556	979	1297	1361	1047	1067	903	1215	
ENSMUSG00000022906.15	1352	566	960	1335	2067	875	2115	1133	1846	2348	3257	1543	1850	1111	1747	
ENSMUSG00000022911.10	324	206	293	103	257	91	240	126	219	204	213	229	180	197	198	
ENSMUSG00000022912.8	715	368	927	397	576	138	430	179	404	413	581	501	474	388	404	
ENSMUSG00000022913.14	535	311	708	536	298	273	591	272	593	480	644	326	447	411	482	
ENSMUSG00000022914.15	982	457	1164	538	678	420	832	528	876	821	1053	685	927	738	931	
ENSMUSG00000022915.3	0	0	1	1	0	0	0	0	0	1	0	2	0	0	0	
ENSMUSG00000022931.7	3	0	0	1	0	0	0	0	0	0	0	0	10	0	0	
ENSMUSG00000022935.15	24	19	30	62	23	8	13	4	12	6	3	3	2	6	3	
ENSMUSG00000022938.7	866	514	719	3385	5650	3425	3669	2834	3501	602	767	854	749	540	738	
ENSMUSG00000022940.16	873	557	1144	367	415	477	687	447	672	524	508	578	452	307	542	
ENSMUSG00000022941.8	32	12	31	48	11	19	21	19	31	48	53	19	38	58	60	
ENSMUSG00000022945.11	147	114	237	420	102	110	299	108	262	519	666	235	466	406	472	
ENSMUSG00000022946.8	1740	715	1847	691	1702	971	1644	982	1254	624	830	833	777	552	684	
ENSMUSG00000022947.7	918	649	1098	505	767	856	4128	1074	1590	112	196	245	120	167	84	
ENSMUSG00000022948.14	252	103	365	196	201	107	248	192	300	152	245	125	147	139	174	
ENSMUSG00000022949.9	1894	883	1937	742	1788	137	2622	792	1773	644	1102	1162	960	548	713	
ENSMUSG00000022951.15	1324	650	1008	798	1334	430	1207	581	924	634	772	748	756	580	628	
ENSMUSG00000022952.16	317	128	196	261	233	138	398	176	389	1032	950	731	827	1268	1148	
ENSMUSG00000022956.10	7135	3639	8492	7012	7277	5500	9922	5508	8690	2981	4604	2921	3350	2803	3554	
ENSMUSG00000022957.19	1299	616	1508	885	1037	352	931	455	810	780	775	734	742	579	640	
ENSMUSG00000022960.12	208	114	304	289	336	169	288	171	340	281	356	244	263	209	298	
ENSMUSG00000022961.17	5520	2641	7229	3502	4331	2209	4427	2643	3924	5103	5189	3705	4377	3669	4171	
ENSMUSG00000022962.14	686	428	692	618	443	231	909	289	665	863	1249	673	1005	880	945	
ENSMUSG00000022964.14	2155	1297	2061	2649	4901	1204	2881	1710	2349	2095	2680	1896	2259	2048	2466	
ENSMUSG00000022965.7	4870	2574	4156	4624	5325	3491	6232	4157	5509	4780	6450	3992	4765	3399	5831	
ENSMUSG00000022967.12	736	336	912	620	778	528	944	470	875	1261	1570	1030	1286	948	1244	
ENSMUSG00000022969.13	1529	852	1520	1610	1915	1332	1826	1271	1991	955	1212	978	954	708	971	
ENSMUSG00000022971.18	219	114	301	298	238	95	236	101	283	282	368	234	312	230	289	
ENSMUSG00000022972.9	562	285	514	511	400	325	589	230	554	459	725	358	432	436	504	
ENSMUSG00000022973.17	933	469	1032	422	817	379	659	380	543	429	447	430	393	450	350	
ENSMUSG00000022974.12	886	355	984	436	972	377	785	535	681	932	862	659	690	572	656	
ENSMUSG00000022978.11	272	140	261	616	186	253	340	221	483	395	599	298	366	267	374	
ENSMUSG00000022982.9	8661	5169	10951	7092	6969	6834	9299	5258	9360	3736	6243	3993	4194	3596	4653	
ENSMUSG00000022983.15	856	436	1064	776	851	470	902	455	804	882	1225	708	868	786	823	
ENSMUSG00000022986.5	20	0	0	4	0	1	2	0	1	32	3	5	36	164	7	
ENSMUSG00000022987.11	65	31	98	14	18	5	17	20	13	7	3	21	13	10	3	
ENSMUSG00000022991.4	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	
ENSMUSG00000022992.16	1057	540	1261	958	559	528	1166	594	1251	1224	1784	946	1138	949	1358	
ENSMUSG00000022993.6	89	61	69	53	69	35	99	57	135	17	44	18	10	3	24	
ENSMUSG00000022994.8	8414	3337	11253	2997	4834	3316	6519	4126	5942	4782	5314	4187	4406	2994	4028	
ENSMUSG00000022995.16	1357	718	2040	507	944	211	822	390	396	692	410	695	628	982	294	
ENSMUSG00000022996.14	10	4	10	2	0	2	0	0	5	2	4	4	8	0	2	
ENSMUSG00000022997.9	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	
ENSMUSG00000022999.14	703	307	904	548	656	436	548	424	572	609	572	361	491	478	606	
ENSMUSG00000023000.4	2	3	11	10	8	0	7	2	4	4	39	17	9	9	10	
ENSMUSG00000023004.8	2827	2109	3540	7238	2656	2041	3139	1519	4401	3634	6057	2316	3725	3421	3958	
ENSMUSG00000023007.15	405	219	751	201	351	181	258	246	317	431	482	246	400	234	314	
ENSMUSG00000023008.18	138	96	216	278	126	89	204	86	321	529	573	425	523	289	566	
ENSMUSG00000023009.14	66	28	138	84	70	28	26	44	74	83	136	90	138	116	90	
ENSMUSG00000023010.14	20579	10253	19461	23991	27183	22288	28141	15641	21362	13294	18366	13684	14792	12218	14856	
ENSMUSG00000023011.7	78	43	182	215	147	53	56	31	75	65	269	39	148	92	134	
ENSMUSG00000023013.4	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	
ENSMUSG00000023015.13	656	234	680	1488	296	526	736	281	837	1276	1668	632	1158	1062	1173	
ENSMUSG00000023017.9	111	62	115	115	121	74	112	58	96	85	131	121	84	63	125	
ENSMUSG00000023018.4	476	241	505	644	400	276	463	237	539	785	918	489	690	608	909	
ENSMUSG00000023019.12	397	178	656	577	692	640	652	230	472	513	1116	342	716	502	760	
ENSMUSG00000023020.2	2359	1377	2730	2785	3079	2340	3317	2278	3646	1138	1822	1042	1162	1057	1268	
ENSMUSG00000023021.15	1767	730	1639	943	1161	329	1221	632	1144	754	891	815	840	723	857	
ENSMUSG00000023022.13	11502	6712	8431	5494	12253	4516	12742	5704	9604	7820	9598	9320	7734	6060	7277	
ENSMUSG00000023025.15	1289	765	1278	876	1255	838	1355	714	1255	1289	1746	1076	1134	800	972	
ENSMUSG00000023026.15	636	312	647	509	478	253	532	325	564	889	960	555	736	811	946	
ENSMUSG00000023027.12	770	346	886	746	722	335	876	452	844	857	931	705	703	638	754	
ENSMUSG00000023030.16	1734	667	1450	1220	1649	1008	1490	675	1089	1556	2034	1368	1748	1087	1575	
ENSMUSG00000023031.7	10976	7021	13572	1206	4535	1013	9675	5155	8497	1327	3310	3040	2299	1743	2448	
ENSMUSG00000023032.12	34	22	80	65	70	25	23	30	69	48	37	43	36	36	54	
ENSMUSG00000023033.14	5	4	4	7	11	2	4	4	3	4	19	4	1	3	1	
ENSMUSG00000023034.6	691	370	579	791	2712	169	254	158	349	768	813	437	1095	1064	576	
ENSMUSG00000023036.14	15	4	26	10	49	9	23	10	19	8	11	22	9	7	11	
ENSMUSG00000023039.16	4234	1958	3991	4746	7891	4756	6529	3783	6752	14972	16472	8119	11458	17117	13320	
ENSMUSG00000023041.6	2164	25	18	45	4061	40	2067	1133	50	2676	67	1132	1490	17842	226	
ENSMUSG00000023043.6	9756	5849	11875	8174	12294	6085	13509	8168	13166	12582	19734	8878	13899	10771	17668	
ENSMUSG00000023044.1	1422	769	1881	451	528	213	1541	542	1116	849	1165	609	682	600	632	
ENSMUSG00000023045.12	8	8	29	19	27	42	34	12	23	31	35	33	35	41	42	
ENSMUSG00000023046.6	758	274	931	581	403	25	151	50	262	39	60	75	95	71	44	
ENSMUSG00000023047.10	42	4	14	6	10	9	14	4	15	1	12	4	5	3	3	
ENSMUSG00000023048.13	6877	3496	6596	16639	16414	7163	10941	7533	11454	7317	8985	5542	6521	6386	8335	
ENSMUSG00000023050.8	128	86	175	96	111	41	59	67	65	182	147	111	118	69	109	
ENSMUSG00000023051.10	797	371	938	1129	699	700	861	635	1254	910	1246	545	869	707	1011	
ENSMUSG00000023052.7	50	4	29	30	11	3	12	9	14	25	27	6	16	9	15	
ENSMUSG00000023055.9	1422	783	2305	628	666	402	706	342	621	871	923	827	866	704	948	
ENSMUSG00000023057.5	165	95	365	63	339	6824	505	827	616	13	61	56	38	45	31	
ENSMUSG00000023064.4	360	277	803	816	345	244	225	146	212	86	24	87	51	61	18	
ENSMUSG00000023066.9	91	41	109	101	78	70	99	50	101	153	111	64	108	99	105	
ENSMUSG00000023067.13	5089	3084	5241	4344	7251	3558	6383	5206	6398	3872	3676	4019	3694	3531	3754	
ENSMUSG00000023068.15	2721	1511	2296	3365	4935	3232	3808	2209	3286	2761	3023	2590	2543	2165	2464	
ENSMUSG00000023070.6	34	27	48	9	13	2	39	17	32	18	21	11	12	2	6	
ENSMUSG00000023072.14	483	220	597	359	264	192	414	197	393	328	472	255	305	299	357	
ENSMUSG00000023073.2	238	206	113	1076	155	2314	50	54	62	368	156	247	149	98	297	
ENSMUSG00000023074.11	500	209	414	188	264	219	293	199	348	290	325	287	272	205	323	
ENSMUSG00000023075.9	2247	1534	2018	1780	3020	1106	2572	1237	1997	1818	1939	1635	1788	1670	1447	
ENSMUSG00000023078.6	137	60	209	2491	710	136	588	200	812	206	70	209	170	33	103	
ENSMUSG00000023079.14	1164	600	1184	638	1314	628	1360	661	917	1915	1942	1201	1708	1279	1784	
ENSMUSG00000023083.7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
ENSMUSG00000023084.11	2	1	7	1	6	1	5	5	1	4	1	2	4	1	7	
ENSMUSG00000023087.15	3018	1231	2240	908	2049	967	2368	1217	1904	2919	2273	1816	1912	1628	2370	
ENSMUSG00000023088.16	989	526	1157	681	949	295	791	379	679	1598	1764	1021	1479	1330	1553	
ENSMUSG00000023089.12	3329	1879	3762	3153	2763	2157	3653	2504	4136	1119	1658	1082	1023	805	904	
ENSMUSG00000023092.16	27233	15283	23780	3381	11443	2365	10263	5749	8860	2890	3158	7222	4198	3685	2380	
ENSMUSG00000023093.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000023094.14	170	103	260	76	88	38	187	98	205	491	302	390	362	122	499	
ENSMUSG00000023104.9	920	460	1264	1349	698	977	1168	618	1361	1289	1685	876	1256	1061	1258	
ENSMUSG00000023106.15	1338	713	1344	1379	1069	628	1587	773	1534	1056	1658	1080	1105	878	1274	
ENSMUSG00000023110.12	997	467	1329	1061	587	446	979	430	966	1207	1712	868	1231	1004	1392	
ENSMUSG00000023118.15	2465	1164	3058	2201	2318	1431	2663	1429	2252	2935	3454	2073	3065	2256	3104	
ENSMUSG00000023120.9	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	
ENSMUSG00000023122.6	1234	701	1515	219	596	598	628	244	511	23	157	184	129	75	98	
ENSMUSG00000023132.7	0	3	23	13	7	183	41	14	25	86	58	53	32	19	23	
ENSMUSG00000023140.4	1	1	5	2	1	1	3	1	1	3	1	2	2	3	1	
ENSMUSG00000023143.10	471	189	528	620	519	260	499	258	548	304	462	381	355	356	336	
ENSMUSG00000023147.15	314	209	527	273	275	115	280	186	278	298	361	229	325	414	339	
ENSMUSG00000023150.14	12444	5590	12955	5783	10593	5387	10937	7745	10814	5803	7788	6558	6368	4360	5953	
ENSMUSG00000023151.9	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
ENSMUSG00000023153.9	11	4	12	3	5	3	7	4	4	2	2	0	5	1	0	
ENSMUSG00000023156.4	625	340	768	532	377	286	612	331	590	389	664	404	448	396	406	
ENSMUSG00000023159.8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	
ENSMUSG00000023165.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000023169.14	1478	756	1778	1070	1698	770	1378	611	1202	2285	2802	1613	2297	1428	2491	
ENSMUSG00000023170.14	1156	432	1464	908	769	499	982	568	1015	784	995	662	709	675	715	
ENSMUSG00000023175.15	18533	9816	21768	18664	25015	20568	27719	17561	26176	13575	19983	11983	13722	11634	15574	
ENSMUSG00000023176.8	33	14	47	122	256	4	73	19	34	5	3	12	11	4	9	
ENSMUSG00000023185.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000023186.14	1691	893	1533	898	2313	1257	1694	855	1489	1570	2084	1521	1459	1065	1479	
ENSMUSG00000023191.9	296	184	563	198	238	79	146	87	140	115	120	201	130	129	93	
ENSMUSG00000023192.12	0	0	0	0	0	2	0	0	0	1	3	0	0	3	2	
ENSMUSG00000023206.16	138	82	239	143	194	173	146	88	198	89	99	93	86	81	41	
ENSMUSG00000023210.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000023216.13	0	0	0	0	0	1	2	0	2	3	4	6	2	4	0	
ENSMUSG00000023224.12	2346	1253	4153	2378	1811	682	1086	425	1439	979	1539	1380	1336	985	890	
ENSMUSG00000023232.17	3524	1717	3769	5860	6030	4963	6485	4252	5726	7158	8519	4290	6762	6394	8576	
ENSMUSG00000023235.14	117	38	132	40	85	89	110	68	104	107	101	50	98	42	68	
ENSMUSG00000023236.7	176	161	337	258	203	72	185	102	152	9	22	49	21	22	7	
ENSMUSG00000023243.8	2302	1496	2099	691	2699	1178	2456	1284	1206	277	645	820	376	326	282	
ENSMUSG00000023247.2	3642	2249	6163	1875	7935	20879	6787	6960	6585	729	1457	933	1065	881	1556	
ENSMUSG00000023249.15	1011	616	1452	647	1310	201	834	565	822	1119	1053	826	926	646	798	
ENSMUSG00000023257.3	1	0	3	0	3	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000023259.16	70	27	97	88	57	24	63	65	68	90	75	49	65	67	79	
ENSMUSG00000023262.13	1590	730	1619	1595	1732	640	1649	996	1626	360	701	571	515	379	499	
ENSMUSG00000023263.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000023266.11	67	29	80	37	28	43	27	22	34	48	23	42	30	26	28	
ENSMUSG00000023267.10	4	1	2	1	4	0	7	2	3	1	0	0	1	0	3	
ENSMUSG00000023272.3	1008	501	898	1886	2367	919	1782	1033	1847	1263	1601	1145	1376	1086	1259	
ENSMUSG00000023274.14	41	29	90	217	127	55	170	50	146	103	94	103	116	57	60	
ENSMUSG00000023277.12	500	166	514	855	542	323	587	389	804	532	828	343	536	394	535	
ENSMUSG00000023279.7	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	
ENSMUSG00000023284.15	46	9	37	15	40	24	38	10	19	38	48	30	25	34	52	
ENSMUSG00000023286.16	2184	1191	1784	2015	1910	1223	2389	1211	2187	1537	2003	1276	1387	1241	1493	
ENSMUSG00000023289.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000023307.13	1428	743	1450	1026	1288	792	1433	866	1257	1175	1504	963	1306	939	1291	
ENSMUSG00000023328.14	366	216	736	489	494	244	268	314	292	143	137	160	145	111	108	
ENSMUSG00000023330.12	130	66	200	127	91	74	151	71	163	120	163	82	118	102	103	
ENSMUSG00000023333.8	0	1	0	1	0	1	0	2	2	0	2	0	0	2	2	
ENSMUSG00000023336.6	662	590	1610	158	253	187	404	179	322	106	67	156	149	147	43	
ENSMUSG00000023341.14	5	5	25	7	24	16	14	24	35	12	55	21	16	10	11	
ENSMUSG00000023345.16	279	136	359	557	163	188	324	147	373	235	519	155	291	297	322	
ENSMUSG00000023348.11	420	196	555	369	301	171	340	216	320	312	267	243	268	351	218	
ENSMUSG00000023349.14	57	45	94	115	265	68	179	89	191	337	754	314	321	155	322	
ENSMUSG00000023350.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000023353.14	1356	719	1797	1083	1075	790	1258	731	1226	1474	1704	979	1452	1507	1229	
ENSMUSG00000023367.14	1552	858	2516	3297	2713	1459	2547	1126	2632	3401	3608	2864	3830	3246	3889	
