1164_at, CKS2
116828_at, N4BP2L2-IT2
116832_at, RPL39L
116984_at, ARAP2
116985_at, ARAP1
116986_at, AGAP2
116987_at, AGAP1
116_at, ADCYAP1
117153_at, MIA2
117178_at, SSX2IP
117246_at, FTSJ3
1173_at, AP2M1
1174_at, AP1S1
1175_at, AP2S1
1178_at, CLC
1179_at, CLCA1
117_at, ADCYAP1R1
1180_at, CLCN1
1181_at, CLCN2
1182_at, CLCN3
1183_at, CLCN4
1184_at, CLCN5
1185_at, CLCN6
1186_at, CLCN7
1188_at, CLCNKB
118_at, ADD1
1191_at, CLU
1192_at, CLIC1
1193_at, CLIC2
1195_at, CLK1
1196_at, CLK2
1198_at, CLK3
119_at, ADD2
1200_at, TPP1
1201_at, CLN3
1203_at, CLN5
120526_at, DNAJC24
1207_at, CLNS1A
1208_at, CLPS
1209_at, CLPTM1
120_at, ADD3
1211_at, CLTA
1212_at, CLTB
1213_at, CLTC
1215_at, CMA1
122616_at, C14orf79
1230_at, CCR1
1232_at, CCR3
1233_at, CCR4
1234_at, CCR5
1235_at, CCR6
1236_at, CCR7
1237_at, CCR8
123803_at, NTAN1
123872_at, DNAAF1
1238_at, ACKR2
123_at, PLIN2
124044_at, SPATA2L
1240_at, CMKLR1
124152_at, IQCK
1241_at, LTB4R
124222_at, PAQR4
1244_at, ABCC2
124565_at, SLC38A10
124583_at, CANT1
124_at, ADH1A
125893_at, ZNF816
1258_at, CNGB1
1259_at, CNGA1
125_at, ADH1B
1261_at, CNGA3
126208_at, ZNF787
126231_at, ZNF573
126298_at, IRGQ
126299_at, ZNF428
126321_at, MFSD12
126353_at, MISP
126393_at, HSPB6
1263_at, PLK3
1264_at, CNN1
1265_at, CNN2
1266_at, CNN3
1267_at, CNP
1268_at, CNR1
1269_at, CNR2
